Time [s],Fx_net [N/m],Fy_net [N/m],Fz_net [N/m],Fmag_net [N/m]
0.550032,200.13271076401,4.343166596499998e-33,168.53193505305,261.6411952473776
0.560018,383.31289583239,-3.430407467139999e-32,301.5092238055,487.68492713145
0.570018,26.241589581970004,4.890408902700037e-33,19.74793983319998,32.842078975671484
0.580038,262.85700278899003,-3.8512251381467993e-32,209.81814836591,336.3293910720711
0.590027,325.92190992189995,-1.3603559652851e-32,257.332450552811,415.2650737476654
0.600011,109.96174105056001,-3.143115266699989e-33,84.64049246673,138.76453963416228
0.610036,55.60752541787,1.546838464664e-32,42.42013945311,69.94043976356137
0.620028,250.219556255364,-4.1583692243846295e-32,198.9937335103201,319.7003789628776
0.630004,164.198030332964,-1.63521447082392e-32,124.34802681725999,205.96947574475928
0.640024,104.53867773685002,-7.046962300699986e-33,81.04583140011,132.2753262339732
0.650006,334.8491068077,4.9777549264e-33,253.58370527597,420.03406994124236
0.660005,219.61424426472,2.405177367819999e-32,168.16180529836,276.60225784539006
0.67003,350.95693672409,-6.875479212105e-32,266.27492549237,440.53729397262623
0.680016,212.62250758066,-3.714261484125e-32,150.44980531409,260.467799639294
0.690017,150.264706388387,-1.731741448054e-32,106.305235828557,184.06598042700142
0.700011,244.29340216271999,3.729573660700003e-33,180.00919987571,303.45111365775176
0.710023,189.631730428,-5.4588797673999846e-33,135.20206437710002,232.8943781995331
0.720025,88.76438439471,-1.6614210078670004e-32,65.76905846848,110.47481608403871
0.730017,139.50047895108,1.528569042782001e-32,104.40922408713,174.24600340339873
0.740028,232.18041252521002,-1.7308775990100015e-32,168.34978781266,286.79155325243516
0.750023,257.12889923147,-2.7062983521119997e-32,178.03094608831998,312.74636462329937
0.760001,120.79232713628,-2.413957439679e-32,82.65005507245,146.36194142767135
0.770009,157.97875204029998,-8.476693332000003e-33,124.38460146764301,201.069180081073
0.780024,75.0336671626,-3.732926906000002e-33,48.9133223461,89.56876861273311
0.790022,292.45534340682997,-3.2845050277699993e-32,192.4890917910884,350.1173779545439
0.800006,189.29788604177003,-3.0046484243700007e-32,129.21527596735,229.194845498762
