mk,time_s,com_x
62,2.4,43.85552597
62,2.6,44.81344604
62,2.8,46.11103439
62,3,47.56563187
62,3.2,49.11798096
62,3.4,50.91973495
62,3.6,53.1011467
62,3.8,55.40166473
62,4,57.7070694
62,4.2,60.01752853
62,4.4,62.31463623
62,4.6,64.61860657
62,4.8,66.93409729
62,5,69.23898315
62,5.2,71.53398895
62,5.4,73.84933472
62,5.6,76.14981079
62,5.8,78.457901
62,6,80.76313782
62,6.2,83.068367
62,6.4,85.36724854
62,6.6,87.67475128
62,6.8,89.98062897
62,7,92.28613281
62,7.2,94.59523773
62,7.4,94.95339966
62,7.6,93.10322571
62,7.8,91.68515778
62,8,93.12288666
62,8.2,94.5634079
62,8.4,95.73522186
62,8.6,95.56889343
62,8.8,94.39425659
62,9,94.7348175
62,9.2,96.00818634
62,9.4,94.79685974
62,9.6,92.92042542
62,9.8,91.3235321
62,10,91.05291748
63,0,43
63,0.2,43
63,0.4,43
63,0.6,43
63,0.8,43
63,1,43
63,1.2,43
63,1.4,43
63,1.6,43
63,1.8,43
63,2,43
63,2.2,43.01309967
63,2.4,43.21442413
63,2.6,43.54557419
63,2.8,43.9082489
63,3,44.19810486
63,3.2,44.29443741
63,3.4,44.18781662
63,3.6,43.97724152
63,3.8,43.73670197
63,4,43.55834579
63,4.2,43.60457611
63,4.4,43.85447311
63,4.6,44.24530792
63,4.8,44.72304535
63,5,45.26947784
63,5.2,45.87417603
63,5.4,46.53839111
63,5.6,47.25228882
63,5.8,48.02285004
63,6,48.86196518
63,6.2,49.77362061
63,6.4,50.75225067
63,6.6,51.78699112
63,6.8,52.84522629
63,7,53.90265274
63,7.2,54.94878769
63,7.4,55.96623993
63,7.6,56.94304657
63,7.8,57.86849976
63,8,58.73064041
63,8.2,59.52899551
63,8.4,60.26547623
63,8.6,60.9301033
63,8.8,61.5181694
63,9,62.0194931
63,9.2,62.42896652
63,9.4,62.7498436
63,9.6,62.97211456
63,9.8,63.09613419
63,10,63.13692856
64,0,43
64,0.2,43
64,0.4,43
64,0.6,43
64,0.8,43
64,1,43
64,1.2,43
64,1.4,43
64,1.6,43
64,1.8,43
64,2,43
64,2.2,43.00468826
64,2.4,43.13718414
64,2.6,43.50379944
64,2.8,44.08082581
64,3,44.76383591
64,3.2,45.61544037
64,3.4,46.62953568
64,3.6,47.76907349
64,3.8,49.03878021
64,4,50.45455551
64,4.2,51.91320419
64,4.4,53.32225037
64,4.6,54.68860245
64,4.8,56.03087234
64,5,57.34626007
64,5.2,58.62923813
64,5.4,59.88962173
64,5.6,61.10534286
64,5.8,62.29430008
64,6,63.45563507
64,6.2,64.58384705
64,6.4,65.6657486
64,6.6,66.65971375
64,6.8,67.5725174
64,7,68.48446655
64,7.2,69.49465179
64,7.4,70.59217072
64,7.6,71.73968506
64,7.8,72.90592194
64,8,74.06840515
64,8.2,74.87393188
64,8.4,74.83770752
64,8.6,74.74163055
64,8.8,74.85974884
64,9,75.22673035
64,9.2,75.67721558
64,9.4,75.09720612
64,9.6,74.46443176
64,9.8,74.03659821
64,10,73.91035461
65,0,43
65,0.2,43
65,0.4,43
65,0.6,43
65,0.8,43
65,1,43
65,1.2,43
65,1.4,43
65,1.6,43
65,1.8,43
65,2,43
65,2.2,43.00183487
65,2.4,43.09717941
65,2.6,43.36015701
65,2.8,43.73361969
65,3,44.05312729
65,3.2,44.23426437
65,3.4,44.30886459
65,3.6,44.3543129
65,3.8,44.43888092
65,4,44.6641922
65,4.2,45.14167023
65,4.4,45.86221313
65,4.6,46.77262878
65,4.8,47.80016708
65,5,48.86671448
65,5.2,49.92748642
65,5.4,51.04873657
65,5.6,52.24500656
65,5.8,53.51103592
65,6,54.81860733
65,6.2,56.18847656
65,6.4,57.60108566
65,6.6,59.03843689
65,6.8,60.46192169
65,7,61.83325195
65,7.2,63.1068306
65,7.4,64.2726593
65,7.6,65.36231232
65,7.8,66.42072296
65,8,67.45720673
65,8.2,68.45476532
65,8.4,68.97669983
65,8.6,69.33492279
65,8.8,69.75076294
65,9,70.06972504
65,9.2,70.37134552
65,9.4,70.68811035
65,9.6,70.99594879
65,9.8,71.2999115
65,10,71.57476044
