y_m,q_m,vnormal_m_s,speed_m_s,x_m,z_m,vx_m_s,vy_m_s,vz_m_s
-0.12562293,0.019304303656164746,0.14481720205759527,0.17804920365269727,-0.006347815,0.018276943,0.17320736,-0.017334959,-0.037419628
-0.12561446,0.025163463683293506,0.10645569623231982,0.16392301536625628,-0.013459995,0.021623161,0.14641942,-0.013315842,-0.072489977
-0.10985128,0.024081080136500923,0.1676356772860574,0.2241754353097432,-0.0077692508,0.02286288,0.21071503,-0.03624044,-0.067382731
-0.10897046,0.018255401068546107,0.1705328569294182,0.22529561353862282,-0.0018582266,0.019043174,0.21188727,-0.043896433,-0.06272959
-0.1191987,0.01731640014322172,0.17961643155499285,0.2165683117149479,-0.00087104813,0.018442113,0.21079351,-0.033255596,-0.036905218
-0.11249427,0.02577171504445684,0.2086577730208091,0.2757870986427954,0.0001814452,0.028074389,0.26054257,-0.042556811,-0.079781018
-0.11058169,0.014721004085121213,0.17413296455011615,0.22796900108754048,0.0012004963,0.016501896,0.21450625,-0.048934095,-0.059685748
-0.10676083,0.01310194245899987,0.1655457423867192,0.21871738731756543,0.0038549162,0.015869746,0.20548601,-0.044306878,-0.060412712
-0.12024426,0.011024837236229847,0.1487775507998349,0.20166038790298182,0.0068279826,0.014875253,0.18718453,-0.044759069,-0.060212038
-0.12482774,0.01903630270133975,0.21808392176087807,0.27149447988302766,0.010772347,0.025252875,0.26058263,-0.051940069,-0.055751007
-0.12659565,0.009949882035558475,0.12502957728025602,0.187365297581026,0.0079411929,0.014179994,0.16620713,-0.048565239,-0.07157068
-0.11577578,0.012370131591319295,0.157626492951294,0.22474978047101696,0.0095378831,0.017487012,0.20434715,-0.051682651,-0.077997498
-0.11801,0.007897011478752065,0.14062900735874687,0.19629577889592148,0.011223824,0.013343231,0.17951289,-0.048363082,-0.062993392
-0.12607008,0.007714292059609752,0.13600839097671596,0.19747815878917885,0.012664249,0.013756156,0.17690308,-0.054655906,-0.06867063
-0.11325228,0.005403164574556626,0.1599135982264683,0.20171457347416424,0.015209164,0.012325691,0.18937717,-0.058865447,-0.036877036
-0.12318517,0.004817077586388588,0.15658456726149153,0.1935213438120877,0.016305339,0.012154288,0.18334252,-0.053514671,-0.031180296
-0.10672466,0.007715162269724337,0.15150010714574302,0.21159261753310316,0.012167969,0.013546443,0.19233051,-0.059224315,-0.065367356
-0.10553666,0.01275254424996797,0.1629241117769963,0.21578095586571047,0.0044576619,0.015746024,0.20253798,-0.043800678,-0.06017714
-0.12546483,0.024172454071393283,0.19891985730884126,0.2533556403384673,0.0041625053,0.028026875,0.24182354,-0.045139853,-0.06060404
-0.10549016,0.009502048409475028,0.14084553128075653,0.20215316394009766,0.0093757249,0.014302408,0.18303671,-0.048571575,-0.070740841
-0.10524008,0.008288145820101796,0.14190324838189045,0.20354560217356804,0.01092612,0.013641776,0.18469763,-0.046273854,-0.071946703
-0.1103996,0.024240420730975404,0.22629942464801084,0.29016102107150504,0.0069454424,0.029281998,0.27597997,-0.054659232,-0.070998892
-0.12024433,0.025157797225389137,0.21624898573842116,0.27710572726949817,0.0046927352,0.029322382,0.26381144,-0.050594397,-0.068053767
-0.088902034,0.03515544545969419,0.1486420974423467,0.22801727256508963,-0.026297513,0.027028851,0.20349735,-0.027961109,-0.0989893
-0.1027796,0.035506980904462956,0.14279571130432595,0.22125015439239212,-0.026940091,0.027137987,0.19706793,-0.018798683,-0.098805219
-0.098820053,0.03838538391503179,0.14381573979099704,0.2301062596784029,-0.030503737,0.028752292,0.20222348,-0.017802222,-0.10834037
-0.094036505,0.03383029964018562,0.1425424637000917,0.22287183791431758,-0.024460085,0.026369207,0.19731838,-0.026993243,-0.10004338
-0.090816408,0.03177299277850486,0.13781341603233538,0.21933170051159598,-0.022643309,0.024905406,0.19254847,-0.029134255,-0.10090925
