t_rel_s,t_actual_s,x_m,y_min_m,y_max_m
1.2,3.00003,0.0350000000000002,-0.146788608,0.14388831249999995
1.2,3.00003,0.045000000000000207,-0.16621950000000002,0.166767695
1.2,3.00003,0.055000000000000215,-0.1681893895,0.17086652349999992
1.2,3.00003,0.06500000000000022,-0.1791316815,0.17125209949999998
1.2,3.00003,0.07500000000000023,-0.174316305,0.1837722325
1.2,3.00003,0.08500000000000024,-0.186884512,0.18301635349999992
1.2,3.00003,0.09500000000000025,-0.188815948,0.18415357199999993
1.2,3.00003,0.10500000000000026,-0.17893156600000001,0.18651564799999998
1.2,3.00003,0.11500000000000027,-0.182453926,0.18266222599999998
1.2,3.00003,0.12500000000000028,-0.17790346099999998,0.17715569299999998
1.2,3.00003,0.1350000000000003,-0.17063192400000002,0.176447934
1.2,3.00003,0.1450000000000003,-0.170211771,0.1692740985
1.2,3.00003,0.1550000000000003,-0.164855969,0.16943710499999998
1.2,3.00003,0.1650000000000003,-0.1582062195,0.15727149050000003
1.2,3.00003,0.17500000000000032,-0.149902655,0.1528148225
1.2,3.00003,0.18500000000000033,-0.13740281899999998,0.140070861
1.2,3.00003,0.19500000000000034,-0.13207779,0.12818681199999996
1.2,3.00003,0.20500000000000035,-0.117647801,0.1154939955
1.2,3.00003,0.21500000000000036,-0.101353208,0.0975285048
1.2,3.00003,0.22500000000000037,-0.080435967,0.07136829950000001
1.2,3.00003,0.23500000000000038,-0.0368329699,0.0544181023
2.0,3.80005,-0.195,-0.12401667,0.1278971295
2.0,3.80005,-0.185,-0.12594405050000002,0.126773332
2.0,3.80005,-0.175,-0.125641913,0.126117117
2.0,3.80005,-0.16499999999999998,-0.12609369,0.12430838
2.0,3.80005,-0.15499999999999997,-0.1234492965,0.1290488295
2.0,3.80005,-0.14499999999999996,-0.12609313149999998,0.12503754849999998
2.0,3.80005,-0.13499999999999995,-0.129064127,0.125768402
2.0,3.80005,-0.12499999999999994,-0.125188825,0.12656328
2.0,3.80005,-0.11499999999999994,-0.1266077525,0.1261278525
2.0,3.80005,-0.10499999999999993,-0.12567409300000001,0.12543029
2.0,3.80005,-0.09499999999999992,-0.12666278,0.12572097399999999
2.0,3.80005,-0.08499999999999991,-0.12739415,0.12602994
2.0,3.80005,-0.0749999999999999,-0.125458109,0.12577714199999998
2.0,3.80005,-0.06499999999999989,-0.12530692200000002,0.12743033599999998
2.0,3.80005,-0.05499999999999988,-0.127100154,0.126037383
2.0,3.80005,-0.04499999999999987,-0.12606194499999998,0.12663017899999998
