t_rel_s,t_actual_s,x_m,z_top_m
2.0,3.80005,-0.12499999999999994,0.12322957999999999
2.0,3.80005,-0.11499999999999994,0.119621717
2.0,3.80005,-0.10499999999999993,0.11576839750000001
2.0,3.80005,-0.09499999999999992,0.112544486
2.0,3.80005,-0.08499999999999991,0.108838022
2.0,3.80005,-0.0749999999999999,0.10483413250000001
2.0,3.80005,-0.06499999999999989,0.10259085650000001
2.0,3.80005,-0.05499999999999988,0.0985318364
2.0,3.80005,-0.04499999999999987,0.0954623502
2.0,3.80005,-0.034999999999999865,0.091719991
2.0,3.80005,-0.024999999999999856,0.08906081665
2.0,3.80005,-0.014999999999999847,0.08600058545
2.0,3.80005,-0.004999999999999838,0.08320300775
2.0,3.80005,0.005000000000000171,0.08073129529999999
2.0,3.80005,0.01500000000000018,0.07789377539999999
2.0,3.80005,0.02500000000000019,0.0764972328
2.0,3.80005,0.0350000000000002,0.07461557915
2.0,3.80005,0.045000000000000207,0.0724479198
2.0,3.80005,0.055000000000000215,0.070832256
2.0,3.80005,0.06500000000000022,0.0706967055
2.0,3.80005,0.07500000000000023,0.0696245234
2.0,3.80005,0.08500000000000024,0.0680308562
2.0,3.80005,0.09500000000000025,0.0668610452
2.0,3.80005,0.10500000000000026,0.0659824155
2.0,3.80005,0.11500000000000027,0.063767775
2.0,3.80005,0.12500000000000028,0.06317002919999999
2.0,3.80005,0.1350000000000003,0.06158728
2.0,3.80005,0.1450000000000003,0.059324401049999996
2.0,3.80005,0.1550000000000003,0.05777410225
2.0,3.80005,0.1650000000000003,0.05644208565
2.0,3.80005,0.17500000000000032,0.0543301202
2.0,3.80005,0.18500000000000033,0.05224468535
2.0,3.80005,0.19500000000000034,0.049692636
2.0,3.80005,0.20500000000000035,0.04718622515
2.0,3.80005,0.21500000000000036,0.0444679655
2.0,3.80005,0.22500000000000037,0.04240796
2.0,3.80005,0.23500000000000038,0.03869955975
2.0,3.80005,0.24500000000000038,0.0356495192
2.0,3.80005,0.2550000000000004,0.032474264600000004
2.0,3.80005,0.2650000000000004,0.02857524125
2.0,3.80005,0.2750000000000004,0.0228524469
2.0,3.80005,0.2850000000000004,0.02196213605
3.0,4.80006,-0.195,0.147770336
3.0,4.80006,-0.185,0.144454896
3.0,4.80006,-0.175,0.14037855800000001
3.0,4.80006,-0.16499999999999998,0.136990292
3.0,4.80006,-0.15499999999999997,0.13340491
3.0,4.80006,-0.14499999999999996,0.129867418
3.0,4.80006,-0.13499999999999995,0.12632932
3.0,4.80006,-0.12499999999999994,0.123186245
3.0,4.80006,-0.11499999999999994,0.12023554
3.0,4.80006,-0.10499999999999993,0.11668331800000001
3.0,4.80006,-0.09499999999999992,0.113748769
3.0,4.80006,-0.08499999999999991,0.109697974
3.0,4.80006,-0.0749999999999999,0.10711219849999999
3.0,4.80006,-0.06499999999999989,0.104313704
3.0,4.80006,-0.05499999999999988,0.100674868
3.0,4.80006,-0.04499999999999987,0.0977184772
3.0,4.80006,-0.034999999999999865,0.0943380472
3.0,4.80006,-0.024999999999999856,0.09166613375
3.0,4.80006,-0.014999999999999847,0.0886959924
3.0,4.80006,-0.004999999999999838,0.08684607450000001
3.0,4.80006,0.005000000000000171,0.0832916425
3.0,4.80006,0.01500000000000018,0.0806275266
3.0,4.80006,0.02500000000000019,0.0796869781
3.0,4.80006,0.0350000000000002,0.07762082455
3.0,4.80006,0.045000000000000207,0.0765920271
3.0,4.80006,0.055000000000000215,0.074737003
3.0,4.80006,0.06500000000000022,0.07434076519999999
3.0,4.80006,0.07500000000000023,0.07220323645
3.0,4.80006,0.08500000000000024,0.07158193280000001
3.0,4.80006,0.09500000000000025,0.07030958255
3.0,4.80006,0.10500000000000026,0.0701499968
3.0,4.80006,0.11500000000000027,0.06871789960000001
3.0,4.80006,0.12500000000000028,0.0668227102
3.0,4.80006,0.1350000000000003,0.0658912675
3.0,4.80006,0.1450000000000003,0.06502868939999999
3.0,4.80006,0.1550000000000003,0.06308079925
3.0,4.80006,0.1650000000000003,0.061251972099999996
3.0,4.80006,0.17500000000000032,0.0587313295
3.0,4.80006,0.18500000000000033,0.0579090222
3.0,4.80006,0.19500000000000034,0.05583611705
3.0,4.80006,0.20500000000000035,0.0536779414
3.0,4.80006,0.21500000000000036,0.0515428405
3.0,4.80006,0.22500000000000037,0.0497628278
3.0,4.80006,0.23500000000000038,0.0472424776
3.0,4.80006,0.24500000000000038,0.0450247935
3.0,4.80006,0.2550000000000004,0.043019209
3.0,4.80006,0.2650000000000004,0.0400597975
3.0,4.80006,0.2750000000000004,0.036497971000000004
3.0,4.80006,0.2850000000000004,0.0331148337
3.0,4.80006,0.29500000000000043,0.03020990245
3.0,4.80006,0.30500000000000044,0.0250933806
3.0,4.80006,0.31500000000000045,0.020927229999999998
