block,step,time_s,com_x,num_particles
2,3,0.6000000000000001,1.0164667072393163,2340
3,3,0.6000000000000001,1.5269638516239317,2340
4,3,0.6000000000000001,2.041002846452991,2340
5,3,0.6000000000000001,2.555590560042735,2340
6,3,0.6000000000000001,3.072412080726496,2340
7,3,0.6000000000000001,3.5899315078205127,2340
8,3,0.6000000000000001,4.108924798205128,2340
9,3,0.6000000000000001,4.628781283846154,2340
10,3,0.6000000000000001,5.149829864615385,2340
11,3,0.6000000000000001,5.671876722521366,2340
12,3,0.6000000000000001,6.195181911880342,2340
13,3,0.6000000000000001,6.719717041282051,2340
14,3,0.6000000000000001,7.245866679059827,2340
15,3,0.6000000000000001,7.773694410170941,2340
16,3,0.6000000000000001,8.303780359102566,2340
17,3,0.6000000000000001,8.836312680897436,2340
18,3,0.6000000000000001,9.372085002606838,2340
19,3,0.6000000000000001,9.911497032905983,2340
20,3,0.6000000000000001,10.455560137179488,2340
21,3,0.6000000000000001,11.005039635042735,2340
22,3,0.6000000000000001,11.561132051709402,2340
23,3,0.6000000000000001,12.125300638034188,2340
24,3,0.6000000000000001,12.698776195726495,2340
25,3,0.6000000000000001,13.284480171794872,2340
26,3,0.6000000000000001,13.88316516752137,2340
27,3,0.6000000000000001,14.501015080341881,2340
28,3,0.6000000000000001,15.135940638888888,2340
29,3,0.6000000000000001,15.803344667094018,2340
30,3,0.6000000000000001,16.502007763675213,2340
1,4,0.8,0.5174517421538462,2340
2,4,0.8,1.0324909716196582,2340
3,4,0.8,1.554772638931624,2340
4,4,0.8,2.0803972844444445,2340
5,4,0.8,2.6092622167094017,2340
6,4,0.8,3.140985074700854,2340
7,4,0.8,3.674838079230769,2340
8,4,0.8,4.211243569230769,2340
9,4,0.8,4.74960290525641,2340
10,4,0.8,5.290445400726496,2340
11,4,0.8,5.833405307264958,2340
12,4,0.8,6.3790549792307685,2340
13,4,0.8,6.927251357478633,2340
14,4,0.8,7.47863006474359,2340
15,4,0.8,8.03327501991453,2340
16,4,0.8,8.591881528333333,2340
17,4,0.8,9.154825169358976,2340
18,4,0.8,9.722788425811965,2340
19,4,0.8,10.296642880299144,2340
20,4,0.8,10.876865898717949,2340
21,4,0.8,11.46522454059829,2340
22,4,0.8,12.06168030854701,2340
23,4,0.8,12.669459836752136,2340
24,4,0.8,13.287702373504276,2340
25,4,0.8,13.921691629487178,2340
26,4,0.8,14.568497672649572,2340
27,4,0.8,15.237805257692308,2340
28,4,0.8,15.915865774358975,2340
29,4,0.8,16.62517767051282,2340
30,4,0.8,17.391977202564103,2340
1,5,1.0,0.5287291426282051,2340
2,5,1.0,1.0518180474316239,2340
3,5,1.0,1.587611001923077,2340
4,5,1.0,2.1295025464529918,2340
5,5,1.0,2.676763586923077,2340
6,5,1.0,3.2286920946153845,2340
7,5,1.0,3.7843171900427355,2340
8,5,1.0,4.3440640160683754,2340
9,5,1.0,4.9073067751282045,2340
10,5,1.0,5.474514512735042,2340
11,5,1.0,6.045457557478632,2340
12,5,1.0,6.620578770213675,2340
13,5,1.0,7.200008914145298,2340
14,5,1.0,7.784156360726496,2340
