idp,final_x,final_y,final_z,final_rhop,mass_kg,ever_overtop,ever_leak,final_category
149942,4.4428306,5.0982194,6.6212912,1699.9526,212.494075,0,0,upstream
149943,5.8668222,5.0561047,5.9495478,1703.5391,212.9423875,0,0,upstream
149944,6.0627475,4.4578242,5.991806,1703.0264,212.8783,0,0,upstream
149945,1.1068691,4.4217343,7.0141435,1699.7799,212.4724875,0,0,upstream
149946,7.5589576,5.8412857,6.7182841,1699.6864,212.4608,0,0,upstream
149947,8.2382793,5.900187,6.74651,1699.7772,212.47215,0,0,upstream
149948,6.0748878,5.5819864,6.6606226,1699.8546,212.481825,0,0,upstream
149949,6.3692255,5.5248137,6.6943183,1699.8951,212.4868875,0,0,upstream
149950,6.940495,5.0061545,6.0316577,1702.8551,212.8568875,0,0,upstream
149951,5.1483316,4.4071622,5.9521379,1703.7537,212.9692125,0,0,upstream
149952,8.073451,5.6062155,6.1546645,1701.3918,212.673975,0,0,upstream
149953,6.7367878,4.7399545,6.72229,1699.8458,212.480725,0,0,upstream
149954,9.7277889,6.5044022,6.7271633,1699.4966,212.437075,0,0,upstream
149955,1.0634867,4.3095407,7.0827298,1700.0276,212.50345,0,0,upstream
149956,9.9486427,6.0658193,6.7130051,1699.36,212.42,0,0,upstream
149957,8.8589411,6.0278873,6.7221537,1699.7418,212.467725,0,0,upstream
149958,13.513269,6.9155707,6.7159696,1699.8435,212.4804375,0,0,upstream
149959,3.22559,5.2060375,6.6070991,1700.0985,212.5123125,0,0,upstream
149960,3.6336455,5.2222166,6.6114736,1699.9163,212.4895375,0,0,upstream
149961,12.261873,6.4267874,6.72226,1699.6888,212.4611,0,0,upstream
149962,11.73163,6.4461565,6.7240591,1699.658,212.45725,0,0,upstream
149963,2.2023797,4.6562452,6.7675323,1700.0751,212.5093875,0,0,upstream
149964,18.110659,7.1929512,6.6235828,1699.5609,212.4451125,0,0,upstream
149965,15.437895,6.9750128,6.6539154,1699.8851,212.4856375,0,0,upstream
149966,14.100796,6.8464432,6.6592717,1699.985,212.498125,0,0,upstream
149967,7.2750635,5.9394689,6.7475171,1699.8988,212.48735,0,0,upstream
149968,8.7404375,6.1726279,6.7141805,1699.7048,212.4631,0,0,upstream
149969,3.5043898,4.7276015,6.5949402,1699.9785,212.4973125,0,0,upstream
149970,0.5788303,1.9833069,0.56695855,1702.6333,212.8291625,0,0,upstream
149971,0.52726692,2.0786898,0.9786765,1702.7902,212.848775,0,0,upstream
149972,0.52660155,2.0819356,1.4443784,1703.595,212.949375,0,0,upstream
149973,0.7148962,2.1411283,1.8047329,1702.4515,212.8064375,0,0,upstream
149974,0.69877481,2.1621561,2.171046,1702.4846,212.810575,0,0,upstream
149975,0.62362278,2.1701331,2.5691895,1702.2535,212.7816875,0,0,upstream
149976,0.63753378,2.1941154,2.9694777,1702.4753,212.8094125,0,0,upstream
149977,0.6431337,2.2283077,3.3502502,1701.8673,212.7334125,0,0,upstream
149978,0.61343598,2.2916009,3.7188756,1702.0002,212.750025,0,0,upstream
149979,0.64152938,2.2477999,4.096724,1702.0227,212.7528375,0,0,upstream
149980,0.71302658,2.3777611,4.4143968,1701.7668,212.72085,0,0,upstream
149981,0.70339471,2.4032307,4.7144957,1701.5042,212.688025,0,0,upstream
149982,0.64473587,2.4188771,5.0641356,1701.5485,212.6935625,0,0,upstream
149983,0.73666,2.5948017,5.3019652,1701.9513,212.7439125,0,0,upstream
149984,0.90774816,2.8012848,5.5186443,1703.2502,212.906275,0,0,upstream
149985,0.93184841,2.8507981,5.7666831,1699.6331,212.4541375,0,0,upstream
149986,0.74753261,2.8757076,5.9965816,1699.9091,212.4886375,0,0,upstream
149987,0.72916555,3.0957644,6.1330194,1699.0924,212.38655,0,0,upstream
149988,1.5934143,3.5111728,5.6809654,1700.6669,212.5833625,0,0,upstream
149989,1.6572212,3.7590201,5.9197273,1698.9949,212.3743625,0,0,upstream
149990,1.102829,3.3473432,6.2862883,1706.066,213.25825,0,0,upstream
149991,0.78916544,3.6699951,6.8361907,1698.8798,212.359975,0,0,upstream
149992,2.294723,4.1768017,5.769237,1700.2996,212.53745,0,0,upstream
