time_s,x_m,z_top_m
2.400000,39.222114,5.107631
2.400000,39.722114,5.795946
2.400000,40.222114,5.655563
2.400000,40.722114,5.577445
2.400000,41.222114,5.431599
2.400000,41.722114,5.335752
2.400000,42.222114,5.250039
2.400000,42.722114,5.151021
2.400000,43.222114,5.129547
2.400000,43.722114,5.015480
2.400000,44.222114,4.969385
2.400000,44.722114,4.920406
2.400000,45.222114,4.883239
2.400000,45.722114,4.834498
2.400000,46.222114,4.793951
2.400000,46.722114,4.775403
2.400000,47.222114,4.791102
2.400000,47.722114,4.803566
2.400000,48.222114,4.005611
2.400000,48.722114,3.810898
2.400000,49.222114,3.635490
2.400000,49.722114,2.477826
5.000000,0.740898,12.740066
5.000000,1.240898,11.551488
5.000000,1.740898,11.495926
5.000000,2.240898,12.395764
5.000000,2.740898,11.962854
5.000000,3.240898,11.661670
5.000000,3.740898,11.290489
5.000000,4.240898,10.391103
5.000000,4.740898,10.928169
5.000000,5.240898,10.835986
5.000000,5.740898,10.809913
5.000000,6.240898,10.603426
5.000000,6.740898,10.554096
5.000000,7.240898,9.485022
5.000000,7.740898,10.428639
5.000000,8.240898,10.394208
5.000000,8.740898,10.392993
5.000000,9.240898,9.369013
5.000000,9.740898,10.318870
5.000000,10.240898,9.368011
5.000000,10.740898,10.238911
5.000000,11.240898,10.194765
5.000000,11.740898,10.197755
5.000000,12.240898,9.208162
5.000000,12.740898,10.107262
5.000000,13.240898,8.738429
5.000000,13.740898,9.995122
5.000000,14.240898,8.549258
5.000000,14.740898,9.838438
5.000000,15.240898,8.865826
5.000000,15.740898,9.703624
5.000000,16.240898,8.827160
5.000000,16.740898,9.591379
5.000000,17.240898,9.590307
5.000000,17.740898,8.662992
5.000000,18.240898,9.455643
5.000000,18.740898,8.593745
5.000000,19.240898,9.327696
5.000000,19.740898,8.490747
5.000000,20.240898,8.474119
5.000000,20.740898,9.197575
5.000000,21.240898,8.337498
5.000000,21.740898,9.082940
5.000000,22.240898,8.217792
5.000000,22.740898,9.177647
5.000000,23.240898,9.052870
5.000000,23.740898,8.293664
5.000000,24.240898,9.088572
5.000000,24.740898,8.950727
5.000000,25.240898,8.937645
5.000000,25.740898,8.869413
5.000000,26.240898,8.750603
5.000000,26.740898,8.729322
5.000000,27.240898,8.727452
5.000000,27.740898,8.561329
5.000000,28.240898,8.579898
5.000000,28.740898,8.361898
5.000000,29.240898,8.360092
5.000000,29.740898,8.319588
5.000000,30.240898,8.208841
5.000000,30.740898,7.492902
5.000000,31.240898,8.182761
5.000000,31.740898,8.045089
5.000000,32.240898,8.025087
5.000000,32.740898,7.930042
5.000000,33.240898,7.831321
5.000000,33.740898,7.243823
5.000000,34.240898,7.830908
5.000000,34.740898,7.649036
5.000000,35.240898,7.659124
5.000000,35.740898,7.549874
5.000000,36.240898,6.723999
5.000000,36.740898,7.462495
5.000000,37.240898,6.468448
5.000000,37.740898,7.240935
5.000000,38.240898,7.245151
5.000000,38.740898,7.211899
5.000000,39.240898,7.157944
5.000000,39.740898,7.078031
5.000000,40.240898,7.039446
5.000000,40.740898,6.015197
5.000000,41.240898,6.883151
5.000000,41.740898,6.198597
5.000000,42.240898,6.800819
5.000000,42.740898,6.055316
5.000000,43.240898,6.732922
5.000000,43.740898,6.073339
5.000000,44.240898,6.701551
5.000000,44.740898,6.606439
5.000000,45.240898,5.507604
5.000000,45.740898,6.512957
5.000000,46.240898,5.773503
5.000000,46.740898,6.451447
5.000000,47.240898,6.422565
5.000000,47.740898,6.348154
5.000000,48.240898,5.721875
5.000000,48.740898,6.257212
5.000000,49.240898,6.315258
5.000000,49.740898,5.360698
5.000000,50.240898,6.165797
5.000000,50.740898,6.186471
5.000000,51.240898,6.100891
5.000000,51.740898,5.090596
5.000000,52.240898,6.030238
5.000000,52.740898,5.314572
5.000000,53.240898,5.937468
5.000000,53.740898,5.361174
5.000000,54.240898,5.765586
5.000000,54.740898,5.740031
5.000000,55.240898,4.754898
5.000000,55.740898,5.701720
5.000000,56.240898,5.658421
5.000000,56.740898,5.587989
5.000000,57.240898,5.540026
5.000000,57.740898,5.029044
5.000000,58.240898,5.515338
5.000000,58.740898,5.457156
5.000000,59.240898,5.459216
5.000000,59.740898,4.486700
5.000000,60.240898,5.293043
5.000000,60.740898,5.468955
5.000000,61.240898,5.312337
5.000000,61.740898,5.263779
5.000000,62.240898,4.551005
5.000000,62.740898,5.262099
5.000000,63.240898,5.199493
5.000000,63.740898,5.273080
5.000000,64.240898,5.158230
5.000000,64.740898,5.177164
5.000000,65.240898,5.222102
5.000000,65.740898,5.155738
5.000000,66.240898,5.157815
5.000000,66.740898,5.225668
5.000000,67.240898,5.203503
5.000000,67.740898,5.194381
5.000000,68.240898,5.316642
5.000000,68.740898,4.325710
5.000000,69.240898,5.304619
5.000000,69.740898,4.518341
5.000000,70.240898,5.543632
5.000000,70.740898,4.724719
5.000000,71.240898,5.715065
5.000000,71.740898,28.673876
5.000000,72.240898,6.116371
5.000000,72.740898,6.131431
5.000000,73.240898,27.040777
5.000000,73.740898,27.024689
5.000000,74.240898,7.071190
5.000000,74.740898,26.317171
5.000000,75.240898,26.304253
