idp,x,y,z,category
166745,33.055054,4.9125013,3.5224216,trapped
166746,35.026154,4.8191009,3.37182,trapped
166747,35.380272,4.9931545,3.87377,trapped
166748,34.370453,5.3249011,3.5724342,trapped
166749,38.008972,5.2932863,3.911267,trapped
166750,33.958874,5.0897131,3.8182547,trapped
166751,37.495842,5.3809543,3.7979009,trapped
166752,35.500801,5.4181714,3.6898856,trapped
166753,37.314835,5.5874743,4.1133571,trapped
166754,38.471817,5.8646669,3.758935,trapped
166755,38.004505,5.9578228,3.8777122,trapped
166756,41.185341,6.3098173,4.3546224,trapped
166757,38.995979,6.4798741,4.0843816,trapped
166758,42.377121,6.4707999,4.1571832,trapped
166759,40.768467,6.8213596,4.2667146,trapped
166760,43.227631,6.9660587,4.4186549,trapped
166761,42.067551,7.1164255,4.1795883,trapped
166762,45.240189,7.3908195,4.7732978,trapped
166763,46.484554,7.7862425,4.976892,trapped
166764,45.186378,7.8378148,4.8410492,trapped
166765,48.425835,8.2281656,5.1148915,trapped
166766,50.807396,8.5888901,5.6127858,trapped
166767,51.437637,8.6841154,7.0149288,trapped
166768,52.681023,8.9104347,6.582943,trapped
166769,52.849987,8.1637096,7.2069187,trapped
166770,5.5511012,5.5222926,0.64259499,trapped
166771,6.8353148,5.4727092,0.88892794,trapped
166772,7.5234699,5.292779,0.76590455,trapped
166773,11.229924,5.2185812,1.3312974,trapped
166774,11.59845,4.9071546,1.319373,trapped
166775,16.137243,4.6547084,1.6668918,trapped
166776,16.723118,4.7962837,1.662914,trapped
166777,19.935961,4.4270554,1.7425894,trapped
166778,18.819897,4.535533,1.8315502,trapped
166779,21.926319,4.4809184,1.9607337,trapped
166780,24.613981,4.2247853,1.9482957,trapped
166781,21.21384,4.3286901,1.8213418,trapped
166782,24.04435,4.3173065,2.0929542,trapped
166783,23.309891,4.0251689,2.0134487,trapped
166784,27.03454,4.2931018,2.3707831,trapped
166785,23.517101,4.3651462,2.3927164,trapped
166786,28.393005,4.1955986,2.3906031,trapped
166787,25.953857,4.3563108,2.4645624,trapped
166788,26.359465,4.1539135,2.3926985,trapped
166789,30.897356,4.2166319,2.6038377,trapped
166790,25.496359,4.3910789,2.5318086,trapped
166791,29.70133,4.3108668,2.818289,trapped
166792,29.108767,4.454423,2.748754,trapped
166793,30.428375,3.9165342,2.690424,trapped
166794,28.325752,4.4971929,2.7107933,trapped
166795,34.199184,4.5338526,3.24277,trapped
166796,31.574707,4.6697235,3.0133483,trapped
166797,30.607069,4.344676,3.0484569,trapped
166798,33.150806,4.4710007,3.0648432,trapped
166799,30.627935,4.8537688,3.1431458,trapped
166800,32.608467,4.6007938,3.0376096,trapped
166801,31.222887,4.8454094,3.2113993,trapped
