Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
46;0.460013;80;  1.298134919387E-02;  6.336223471913E-36; -2.187683138067E-02;  2.543838002216E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.298134919387E-02;  6.336223471913E-36; -6.280587776694E+01;  6.280587910849E+01
47;0.470017;80; -2.221260992381E+00; -7.283674996644E-33;  5.701623314941E+00;  6.119028421388E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.221260992381E+00; -7.283674996644E-33; -5.708237762061E+01;  5.712557951757E+01
48;0.480026;80; -2.132430038857E+02; -5.443563927070E-31;  3.916724352835E+02;  4.459594995817E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.132430038857E+02; -5.443563927070E-31;  3.288884343480E+02;  3.919696173864E+02
49;0.490039;80; -3.485747681764E+01; -7.006290862132E-32;  4.276656663249E+01;  5.517266453257E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -3.485747681764E+01; -7.006290862132E-32; -2.001743430307E+01;  4.019628547727E+01
50;0.500005;80; -5.645667399443E+01; -1.642307188625E-31;  1.264080510029E+02;  1.384425924232E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -5.645667399443E+01; -1.642307188625E-31;  6.362405006735E+01;  8.506101213533E+01
51;0.510023;80; -9.793336083029E+00; -2.088683625110E-32;  1.477266227443E+01;  1.772402274625E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -9.793336083029E+00; -2.088683625110E-32; -4.801133866112E+01;  4.899998032314E+01
52;0.520041;80; -1.021217017558E+02; -2.745663799654E-31;  2.296251163892E+02;  2.513096417693E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.021217017558E+02; -2.745663799654E-31;  1.668411154536E+02;  1.956139048618E+02
53;0.530014;80; -8.287689363859E+01; -1.689802830359E-31;  1.099547317009E+02;  1.376903138300E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -8.287689363859E+01; -1.689802830359E-31;  4.717073076538E+01;  9.536066977598E+01
54;0.540021;80; -7.984293669121E+01; -2.173914070623E-31;  1.819637523038E+02;  1.987100945899E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -7.984293669121E+01; -2.173914070623E-31;  1.191797513682E+02;  1.434528064405E+02
55;0.550032;80; -4.107834753225E+01; -1.100603881852E-31;  9.048531965621E+01;  9.937315386596E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.107834753225E+01; -1.100603881852E-31;  2.770131872066E+01;  4.954587465010E+01
56;0.560018;80; -8.198222983580E+01; -1.889034002399E-31;  1.439824218080E+02;  1.656865226823E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -8.198222983580E+01; -1.889034002399E-31;  8.119842087243E+01;  1.153874757546E+02
57;0.570018;80; -8.381106603587E+01; -2.057337293880E-31;  1.521269235201E+02;  1.736861987889E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -8.381106603587E+01; -2.057337293880E-31;  8.934292258452E+01;  1.225008269605E+02
58;0.580038;80; -2.457422989180E+01; -4.853476968926E-32;  3.210237070951E+01;  4.042839323973E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.457422989180E+01; -4.853476968926E-32; -3.068163022604E+01;  3.930973426650E+01
59;0.590027;80; -3.046525252026E+01; -2.091936188148E-32;  7.245937412470E+00;  3.131509572248E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -3.046525252026E+01; -2.091936188148E-32; -5.553806352308E+01;  6.334515065115E+01
60;0.600011;80; -5.682180234038E+01; -1.422462467644E-31;  1.201820247189E+02;  1.329377158173E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -5.682180234038E+01; -1.422462467644E-31;  5.739802378330E+01;  8.076664135296E+01
61;0.610036;80; -4.412045965652E+01; -5.426603348451E-32;  3.160747835528E+01;  5.427382102157E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.412045965652E+01; -5.426603348451E-32; -3.117652258027E+01;  5.402398097605E+01
62;0.620028;80; -4.500683315356E+00; -1.171528199476E-33;  8.323338441898E-01;  4.577000101956E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.500683315356E+00; -1.171528199476E-33; -6.195166709136E+01;  6.211493544796E+01
63;0.630004;80; -4.394903066245E+00; -5.971979377886E-34; -1.653515138231E+00;  4.695666648523E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.394903066245E+00; -5.971979377886E-34; -6.443751607379E+01;  6.458721739416E+01
64;0.640024;80; -6.673380847744E+01; -1.471090138228E-31;  1.018731901689E+02;  1.217848433472E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -6.673380847744E+01; -1.471090138228E-31;  3.908918923338E+01;  7.733929084771E+01
65;0.650006;80; -1.603804358479E+02; -3.665110395966E-31;  2.826273593925E+02;  3.249617030973E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.603804358479E+02; -3.665110395966E-31;  2.198433584569E+02;  2.721267837982E+02
66;0.660005;80; -9.736855360915E+01; -1.309684439039E-31;  9.499610897476E+01;  1.360327017753E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -9.736855360915E+01; -1.309684439039E-31;  3.221210803920E+01;  1.025585449208E+02
67;0.670030;80;  2.358205529552E+01; -2.659943170428E-32;  3.909389900288E+01;  4.565573645456E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.358205529552E+01; -2.659943170428E-32; -2.369010193268E+01;  3.342655024889E+01
68;0.680016;80;  9.130269939645E+01; -1.642034702290E-32;  6.283307152917E+01;  1.108340101001E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  9.130269939645E+01; -1.642034702290E-32;  4.907059361110E-02;  9.130271258294E+01
69;0.690017;80; -2.470282948496E+00; -5.013527699595E-33;  3.552928481593E+00;  4.327308475363E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.470282948496E+00; -5.013527699595E-33; -5.923107245396E+01;  5.928256271360E+01
70;0.700011;80; -4.686837821238E+01; -1.380625467265E-31;  1.229701758733E+02;  1.315990464653E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.686837821238E+01; -1.380625467265E-31;  6.018617493779E+01;  7.628250474323E+01
71;0.710023;80; -1.228900651380E+02; -3.502390293579E-31;  2.861160288697E+02;  3.113909923003E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.228900651380E+02; -3.502390293579E-31;  2.233320279341E+02;  2.549101073139E+02
72;0.720025;80; -1.476293341723E+01; -5.304535532298E-32;  4.756396283930E+01;  4.980235701310E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.476293341723E+01; -5.304535532298E-32; -1.522003809625E+01;  2.120362616943E+01
73;0.730017;80; -5.120935381942E+01; -9.329024918183E-32;  9.024130614044E+01;  1.037588128909E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -5.120935381942E+01; -9.329024918183E-32;  2.745730520489E+01;  5.810595088041E+01
