time_s,relative_time_after_impact_s,x_m,y_positive_m,y_negative_m
1.800000000000000044e+00,0.000000000000000000e+00,-1.016554594039916992e+00,1.414956897497177124e-01,-1.414956897497177124e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.010554671287536621e+00,1.412363648414611816e-01,-1.412363648414611816e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.004554867744445801e+00,1.418472379446029663e-01,-1.418472379446029663e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.985550642013549805e-01,1.410977393388748169e-01,-1.410977393388748169e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.925551414489746094e-01,1.418927162885665894e-01,-1.418927162885665894e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.865553379058837891e-01,1.411554813385009766e-01,-1.411554813385009766e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.805555343627929688e-01,1.411351561546325684e-01,-1.411351561546325684e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.745556116104125977e-01,1.416191905736923218e-01,-1.416191905736923218e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.685558080673217773e-01,1.409435272216796875e-01,-1.409435272216796875e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.625560045242309570e-01,1.406706869602203369e-01,-1.406706869602203369e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.565560817718505859e-01,1.407812982797622681e-01,-1.407812982797622681e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.505562782287597656e-01,1.410944610834121704e-01,-1.410944610834121704e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.445564150810241699e-01,1.408504098653793335e-01,-1.408504098653793335e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.385565519332885742e-01,1.408178657293319702e-01,-1.408178657293319702e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.325567483901977539e-01,1.414535492658615112e-01,-1.414535492658615112e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.265568852424621582e-01,1.415027081966400146e-01,-1.415027081966400146e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.205570220947265625e-01,1.411614865064620972e-01,-1.411614865064620972e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.145572185516357422e-01,1.414510458707809448e-01,-1.414510458707809448e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.085573554039001465e-01,1.414588987827301025e-01,-1.414588987827301025e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.025574922561645508e-01,1.414514034986495972e-01,-1.414514034986495972e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.965576887130737305e-01,1.408180445432662964e-01,-1.408180445432662964e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.905577659606933594e-01,1.410884261131286621e-01,-1.410884261131286621e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.845579624176025391e-01,1.412386298179626465e-01,-1.412386298179626465e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.785581588745117188e-01,1.412409543991088867e-01,-1.412409543991088867e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.725582361221313477e-01,1.414558142423629761e-01,-1.414558142423629761e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.665584325790405273e-01,1.412369906902313232e-01,-1.412369906902313232e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.605586290359497070e-01,1.415235996246337891e-01,-1.415235996246337891e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.545587062835693359e-01,1.413813233375549316e-01,-1.413813233375549316e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.485589027404785156e-01,1.411187797784805298e-01,-1.411187797784805298e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.425590991973876953e-01,1.406232714653015137e-01,-1.406232714653015137e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.365591764450073242e-01,1.414134800434112549e-01,-1.414134800434112549e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.305593729019165039e-01,1.408765763044357300e-01,-1.408765763044357300e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.245595693588256836e-01,1.411617547273635864e-01,-1.411617547273635864e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.185596466064453125e-01,1.412680149078369141e-01,-1.412680149078369141e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.125598430633544922e-01,1.411897391080856323e-01,-1.411897391080856323e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.065599799156188965e-01,1.410916447639465332e-01,-1.410916447639465332e-01
1.800000000000000044e+00,0.000000000000000000e+00,-8.005601167678833008e-01,1.411450654268264771e-01,-1.411450654268264771e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.945603132247924805e-01,1.412699073553085327e-01,-1.412699073553085327e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.885604500770568848e-01,1.409843862056732178e-01,-1.409843862056732178e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.825605869293212891e-01,1.408480852842330933e-01,-1.408480852842330933e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.765607833862304688e-01,1.416640579700469971e-01,-1.416640579700469971e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.705609202384948730e-01,1.408935338258743286e-01,-1.408935338258743286e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.645610570907592773e-01,1.411946564912796021e-01,-1.411946564912796021e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.585612535476684570e-01,1.408026665449142456e-01,-1.408026665449142456e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.525613307952880859e-01,1.408418416976928711e-01,-1.408418416976928711e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.465615272521972656e-01,1.412711739540100098e-01,-1.412711739540100098e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.405617237091064453e-01,1.413056403398513794e-01,-1.413056403398513794e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.345618009567260742e-01,1.408647596836090088e-01,-1.408647596836090088e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.285619974136352539e-01,1.418921053409576416e-01,-1.418921053409576416e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.225621938705444336e-01,1.412026733160018921e-01,-1.412026733160018921e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.165622711181640625e-01,1.408974528312683105e-01,-1.408974528312683105e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.105624675750732422e-01,1.411170363426208496e-01,-1.411170363426208496e-01
1.800000000000000044e+00,0.000000000000000000e+00,-7.045626640319824219e-01,1.415171921253204346e-01,-1.415171921253204346e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.985627412796020508e-01,1.412577480077743530e-01,-1.412577480077743530e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.925629377365112305e-01,1.409001052379608154e-01,-1.409001052379608154e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.865631341934204102e-01,1.408515423536300659e-01,-1.408515423536300659e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.805632114410400391e-01,1.410620212554931641e-01,-1.410620212554931641e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.745634078979492188e-01,1.409056335687637329e-01,-1.409056335687637329e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.685635447502136230e-01,1.410949975252151489e-01,-1.410949975252151489e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.625636816024780273e-01,1.409699916839599609e-01,-1.409699916839599609e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.565638780593872070e-01,1.413429826498031616e-01,-1.413429826498031616e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.505640149116516113e-01,1.408578753471374512e-01,-1.408578753471374512e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.445641517639160156e-01,1.413616538047790527e-01,-1.413616538047790527e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.385643482208251953e-01,1.409214586019515991e-01,-1.409214586019515991e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.325644850730895996e-01,1.407745629549026489e-01,-1.407745629549026489e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.265646219253540039e-01,1.409824639558792114e-01,-1.409824639558792114e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.205648183822631836e-01,1.413934230804443359e-01,-1.413934230804443359e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.145648956298828125e-01,1.409267634153366089e-01,-1.409267634153366089e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.085650920867919922e-01,1.413725912570953369e-01,-1.413725912570953369e-01
1.800000000000000044e+00,0.000000000000000000e+00,-6.025652885437011719e-01,1.409788280725479126e-01,-1.409788280725479126e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.965653657913208008e-01,1.408805996179580688e-01,-1.408805996179580688e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.905655622482299805e-01,1.409421414136886597e-01,-1.409421414136886597e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.845657587051391602e-01,1.408320516347885132e-01,-1.408320516347885132e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.785658359527587891e-01,1.407299041748046875e-01,-1.407299041748046875e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.725660324096679688e-01,1.404534876346588135e-01,-1.404534876346588135e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.665662288665771484e-01,1.408367753028869629e-01,-1.408367753028869629e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.605663061141967773e-01,1.406347900629043579e-01,-1.406347900629043579e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.545665025711059570e-01,1.409166455268859863e-01,-1.409166455268859863e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.485666990280151367e-01,1.405466496944427490e-01,-1.405466496944427490e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.425667762756347656e-01,1.410749107599258423e-01,-1.410749107599258423e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.365669727325439453e-01,1.409617066383361816e-01,-1.409617066383361816e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.305671095848083496e-01,1.407627165317535400e-01,-1.407627165317535400e-01
