time_s,relative_time_after_impact_s,x_m,z_m
1.800000000000000044e+00,0.000000000000000000e+00,-3.023895025253295898e-01,2.023946344852447510e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.963842153549194336e-01,2.002382427453994751e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.903789281845092773e-01,1.956785619258880615e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.843736410140991211e-01,1.938382387161254883e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.783683538436889648e-01,1.904065907001495361e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.723630666732788086e-01,1.874382495880126953e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.663578391075134277e-01,1.841326355934143066e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.603526115417480469e-01,1.820997446775436401e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.543473243713378906e-01,1.810382455587387085e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.483420372009277344e-01,1.769654899835586548e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.423367500305175781e-01,1.749197095632553101e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.363314628601074219e-01,1.715017706155776978e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.303261756896972656e-01,1.690998673439025879e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.243208885192871094e-01,1.651187837123870850e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.183156013488769531e-01,1.629707366228103638e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.123103737831115723e-01,1.593942195177078247e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.063051462173461914e-01,1.570499539375305176e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.002998590469360352e-01,1.531045436859130859e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.942945718765258789e-01,1.509878188371658325e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.882892847061157227e-01,1.490382403135299683e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.822839975357055664e-01,1.452642530202865601e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.762787103652954102e-01,1.426382511854171753e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.702734827995300293e-01,1.386139243841171265e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.642682552337646484e-01,1.376391351222991943e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.582629680633544922e-01,1.328556388616561890e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.522576808929443359e-01,1.323107779026031494e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.462523937225341797e-01,1.298382431268692017e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.402471065521240234e-01,1.255992799997329712e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.342418193817138672e-01,1.239337027072906494e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.282365322113037109e-01,1.195017620921134949e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.222312450408935547e-01,1.170382425189018250e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.162260174751281738e-01,1.131667271256446838e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.102207899093627930e-01,1.106382459402084351e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.042155027389526367e-01,1.069325506687164307e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.821021556854248047e-02,1.042382419109344482e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.220492839813232422e-02,9.974742680788040161e-02
1.800000000000000044e+00,0.000000000000000000e+00,-8.619964122772216797e-02,9.783824533224105835e-02
1.800000000000000044e+00,0.000000000000000000e+00,-8.019435405731201172e-02,9.275189787149429321e-02
1.800000000000000044e+00,0.000000000000000000e+00,-7.418912649154663086e-02,8.846380561590194702e-02
1.800000000000000044e+00,0.000000000000000000e+00,-6.818389892578125000e-02,8.716159313917160034e-02
1.800000000000000044e+00,0.000000000000000000e+00,-6.217861175537109375e-02,8.031717687845230103e-02
1.800000000000000044e+00,0.000000000000000000e+00,-5.617332458496093750e-02,7.950534671545028687e-02
1.800000000000000044e+00,0.000000000000000000e+00,-5.016803741455078125e-02,7.645286619663238525e-02
1.800000000000000044e+00,0.000000000000000000e+00,-4.416275024414062500e-02,7.338999956846237183e-02
1.800000000000000044e+00,0.000000000000000000e+00,-3.815746307373046875e-02,6.920497119426727295e-02
1.800000000000000044e+00,0.000000000000000000e+00,-3.215217590332031250e-02,6.429394334554672241e-02
1.800000000000000044e+00,0.000000000000000000e+00,-2.614688873291015625e-02,6.102408841252326965e-02
1.800000000000000044e+00,0.000000000000000000e+00,-2.014166116714477539e-02,5.646422877907752991e-02
1.800000000000000044e+00,0.000000000000000000e+00,-1.413643360137939453e-02,5.060507729649543762e-02
1.800000000000000044e+00,0.000000000000000000e+00,-8.131146430969238281e-03,4.663824662566184998e-02
1.800000000000000044e+00,0.000000000000000000e+00,-2.125859260559082031e-03,4.155547544360160828e-02
1.800000000000000044e+00,0.000000000000000000e+00,3.879427909851074219e-03,3.649700805544853210e-02
1.800000000000000044e+00,0.000000000000000000e+00,9.884703904390335083e-03,2.874046191573143005e-02
2.200000000000000178e+00,4.000000000000001332e-01,-1.482962250709533691e+00,6.527281403541564941e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.476516246795654297e+00,6.535242795944213867e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.470070362091064453e+00,6.543160080909729004e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.463624477386474609e+00,6.546131372451782227e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.457178592681884766e+00,6.532695293426513672e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.450732588768005371e+00,6.512171626091003418e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.444286584854125977e+00,6.506221294403076172e-01
